date,temp,rh
2025-01-01T00:00,0.8,83
2025-01-01T01:00,2.1,83
2025-01-01T02:00,2.6,82
2025-01-01T03:00,3.1,82
2025-01-01T04:00,3.6,81
2025-01-01T05:00,4.0,79
2025-01-01T06:00,4.1,79
2025-01-01T07:00,4.3,79
2025-01-01T08:00,4.6,77
2025-01-01T09:00,5.0,75
2025-01-01T10:00,5.6,73
2025-01-01T11:00,6.1,71
2025-01-01T12:00,6.4,69
2025-01-01T13:00,6.7,73
2025-01-01T14:00,7.0,68
2025-01-01T15:00,6.8,68
2025-01-01T16:00,6.5,69
2025-01-01T17:00,6.0,71
2025-01-01T18:00,5.7,73
2025-01-01T19:00,5.8,73
2025-01-01T20:00,6.2,73
2025-01-01T21:00,6.5,71
2025-01-01T22:00,6.5,71
2025-01-01T23:00,6.2,76
